Christian McCaffrey,Car,RB,16,448.60,100%,-,1,50,1,0,1098,7,53,107,867,6,41,0,0,0,1
Patrick Mahomes,KC,QB,16,431.08,100%,-,2,5097,50,12,272,2,18,0,0,0,0,0,0,1,2
Saquon Barkley,NYG,RB,16,427.77,100%,-,3,0,0,0,1307,11,50,91,721,4,30,0,0,1,0
Todd Gurley II,LAR,RB,14,422.77,100%,-,4,0,0,0,1251,17,70,59,580,4,26,0,0,3,1
Alvin Kamara,NO,RB,15,419.37,100%,-,5,0,0,0,883,14,57,81,709,4,31,208,0,3,0
Ezekiel Elliott,Dal,RB,15,400.20,100%,-,6,0,0,0,1434,6,74,77,567,3,22,0,0,0,1
Tyreek Hill,KC,WR,16,394.00,100%,-,7,0,0,0,151,1,8,87,1479,12,60,213,1,0,0
DeAndre Hopkins,Hou,WR,16,384.10,100%,-,8,0,0,0,-7,0,0,115,1572,11,81,0,0,0,2
Antonio Brown,NE,WR,15,373.47,29%,-,9,0,0,0,0,0,0,104,1297,15,63,0,0,0,0
Davante Adams,GB,WR,15,373.40,99%,-,10,0,0,0,0,0,0,111,1386,13,64,0,0,1,0
Julio Jones,Atl,WR,16,367.00,100%,-,11,0,0,0,12,0,1,113,1677,8,80,0,0,0,2
Matt Ryan,Atl,QB,16,366.79,93%,-,12,4924,35,7,125,3,15,1,5,1,1,0,0,2,5
Michael Thomas,NO,WR,16,361.67,100%,-,13,0,0,0,0,0,0,125,1405,9,75,0,0,0,2
Adam Thielen,Min,WR,16,354.53,99%,-,14,0,0,0,30,0,1,113,1373,9,74,0,0,1,1
Deshaun Watson,Hou,QB,16,354.70,100%,-,15,4165,26,9,551,5,33,0,0,0,0,0,0,0,3
Ben Roethlisberger,Pit,QB,16,348.89,9%,-,16,5129,34,16,98,3,13,1,-1,0,0,0,0,4,2
Andrew Luck,Ind,QB,16,340.79,3%,-,17,4593,39,15,148,0,12,1,4,0,1,0,0,2,1
Travis Kelce,KC,TE,16,338.07,100%,-,18,0,0,0,0,0,0,103,1336,10,68,0,0,0,1
JuJu Smith-Schuster,Pit,WR,16,332.37,99%,-,19,0,0,0,13,0,1,111,1426,7,68,0,0,1,1
Aaron Rodgers,GB,QB,16,328.58,100%,-,20,4442,25,2,269,2,20,0,0,0,0,0,0,3,3
Zach Ertz,Phi,TE,16,323.53,99%,-,22,0,0,0,0,0,0,116,1163,8,66,0,0,0,0
Mike Evans,TB,WR,16,322.60,100%,-,23,0,0,0,0,0,0,86,1524,8,69,0,0,0,1
